comment_id,text,source,date,likes,shares,word_count,year,cleaned_text,corrected_text,tokens,topic,topic_name,sentiment,sentiment_score,year_month
comment_022,We need better solutions for plastic WASTE management,Mail Online,2023-03-05,88,61,8,2023,we need better solutions for plastic waste management,we need better solutions for plastic waste management,"['need', 'better', 'solut', 'plastic', 'wast', 'manag']",4,Food,neutral,0.00446679623060004,2023-03
comment_023,Plastic bottles take hundreds of years to decompose,Guardian ,2019-01-17,216,104,8,2019,plastic bottles take hundreds of years to decompose,plastic bottles take hundreds of years to decompose,"['plastic', 'bottl', 'take', 'hundr', 'year', 'decompos']",5,Other,neutral,0.0,2019-01
comment_024,@DavidAttenborough Plastic pollution is preventable with effort,Mail Online,2022-08-16,19,10,7,2022,davidattenborough plastic pollution is preventable with effort,davidattenborough plastic pollution is preventable with effort,"['davidattenborough', 'plastic', 'pollut', 'prevent', 'effort']",2,Policy,neutral,0.0,2022-08
comment_025,WASTE management systems need improvement,Guardian ,2017-05-23,61,45,5,2017,waste management systems need improvement,waste management systems need improvement,"['wast', 'manag', 'system', 'need', 'improv']",4,Food,neutral,-0.035170735711137,2017-05
comment_026,Innovations in recycling technology give hope!!!,Guardian ,2018-04-18,74,15,6,2018,innovations in recycling technology give hope,innovations in recycling technology give hope,"['innov', 'recycl', 'technolog', 'give', 'hope']",2,Policy,positive,0.14875308173731133,2018-04
comment_027,We MUST find balance between convenience and environment,Guardian ,2017-08-02,79,7,8,2017,we must find balance between convenience and environment,we must find balance between convenience and environment,"['must', 'find', 'balanc', 'conveni', 'environ']",1,Shopping,neutral,0.0,2017-08
comment_028,INTERNATIONAL cooperation needed for plastic crisis 🤔,BBC News,2017-08-19,155,98,7,2017,international cooperation needed for plastic crisis,international cooperation needed for plastic crisis,"['intern', 'cooper', 'need', 'plastic', 'crisi']",1,Shopping,negative,-0.15928840365580269,2017-08
comment_029,Corporate responsibility for plastic is important,BBC News,2021-08-12,328,13,6,2021,corporate responsibility for plastic is important,corporate responsibility for plastic is important,"['corpor', 'respons', 'plastic', 'import']",1,Shopping,positive,0.05216252498431177,2021-08
comment_030,Recycling is not working most plastic never gets recycled #CLIMATECHANGE,Mail Online,2018-05-14,148,62,10,2018,recycling is not working most plastic never gets recycled climatechange,recycling is not working most plastic never gets recycled climatechange,"['recycl', 'work', 'plastic', 'never', 'get', 'recycl', 'climatechang']",1,Shopping,neutral,0.0,2018-05
comment_031,Corporate responsibility for plastic is important ❤️,Guardian ,2017-09-03,36,112,7,2017,corporate responsibility for plastic is important,corporate responsibility for plastic is important,"['corpor', 'respons', 'plastic', 'import']",1,Shopping,positive,0.05216252498431177,2017-09
comment_032,Community beach cleanups are very rewarding,Guardian ,2022-04-22,174,136,6,2022,community beach cleanups are very rewarding,community beach cleanups are very rewarding,"['commun', 'beach', 'cleanup', 'reward']",3,Family,positive,0.14582993069412634,2022-04
comment_033,Young activists are leading the movement ❤️ #recycling https://bit.ly/3plasticfacts,BBC News,2019-02-04,104,57,9,2019,young activists are leading the movement recycling bit ly plasticfacts,young activists are leading the movement recycling bit ly plasticfacts,"['young', 'activist', 'lead', 'movement', 'recycl', 'bit', 'plasticfact']",5,Other,neutral,0.0,2019-02
comment_034,Government policies need to be STRONGER 😂...,BBC News,2020-09-02,211,142,7,2020,government policies need to be stronger,government policies need to be stronger,"['govern', 'polici', 'need', 'stronger']",3,Family,positive,0.13206369105617038,2020-09
comment_035,Plastic production should be regulated strictly?!,Guardian ,2022-10-11,270,140,6,2022,plastic production should be regulated strictly,plastic production should be regulated strictly,"['plastic', 'product', 'regul', 'strictli']",2,Policy,neutral,0.0,2022-10
comment_036,International cooperation needed for plastic crisis,Mail Online,2023-01-19,265,56,6,2023,international cooperation needed for plastic crisis,international cooperation needed for plastic crisis,"['intern', 'cooper', 'need', 'plastic', 'crisi']",1,Shopping,negative,-0.15928840365580269,2023-01
comment_037,Companies using recycled plastic deserve support,Guardian ,2020-06-28,219,99,6,2020,companies using recycled plastic deserve support,companies using recycled plastic deserve support,"['compani', 'use', 'recycl', 'plastic', 'deserv', 'support']",5,Other,positive,0.10321589503905308,2020-06
comment_038,Marine animals suffer the most from plastic 😡 https://bit.ly/3plasticfacts,BBC News,2023-09-25,287,90,9,2023,marine animals suffer the most from plastic bit ly plasticfacts,marine animals suffer the most from plastic bit ly plasticfacts,"['marin', 'anim', 'suffer', 'plastic', 'bit', 'plasticfact']",3,Family,negative,-0.13866849234082723,2023-09
comment_039,Reusable products are the future,Guardian ,2020-06-09,68,105,5,2020,reusable products are the future,reusable products are the future,"['reusabl', 'product', 'futur']",3,Family,neutral,0.0,2020-06
comment_040,Plastic POLLUTION is preventable with effort 😢,BBC News,2023-04-20,292,122,7,2023,plastic pollution is preventable with effort,plastic pollution is preventable with effort,"['plastic', 'pollut', 'prevent', 'effort']",2,Policy,neutral,0.0,2023-04
comment_041,@BBCEnvironment Plastic AWARENESS campaigns are effective 💩,Mail Online,2023-04-02,341,64,7,2023,bbcenvironment plastic awareness campaigns are effective,bbcenvironment plastic awareness campaigns are effective,"['bbcenviron', 'plastic', 'awar', 'campaign', 'effect']",1,Shopping,positive,0.12216154433196781,2023-04
comment_042,@GreenPeace Plastic problem requires global SOLUTION,Guardian ,2020-10-05,327,22,6,2020,greenpeace plastic problem requires global solution,greenpeace plastic problem requires global solution,"['greenpeac', 'plastic', 'problem', 'requir', 'global', 'solut']",4,Food,neutral,0.02212222963097437,2020-10
comment_043,@GreenPeace Great to see biodegradable alternatives becoming available https://bit.ly/3plasticfacts...,Guardian ,2021-03-09,89,30,9,2021,greenpeace great to see biodegradable alternatives becoming available bit ly plasticfacts,greenpeace great to see biodegradable alternatives becoming available bit ly plasticfacts,"['greenpeac', 'great', 'see', 'biodegrad', 'altern', 'becom', 'avail', 'bit', 'plasticfact']",5,Other,positive,0.15928840365580269,2021-03
comment_044,Community beach cleanups are very rewarding?!,BBC News,2023-04-13,327,48,6,2023,community beach cleanups are very rewarding,community beach cleanups are very rewarding,"['commun', 'beach', 'cleanup', 'reward']",3,Family,neutral,0.0,2023-04
comment_045,@BBCEnvironment Plastic waste in rivers flows to oceans,Mail Online,2017-04-01,155,36,8,2017,bbcenvironment plastic waste in rivers flows to oceans,bbcenvironment plastic waste in rivers flows to oceans,"['bbcenviron', 'plastic', 'wast', 'river', 'flow', 'ocean']",3,Family,negative,-0.10819199695445972,2017-04
comment_046,Innovative materials can replace plastik 😊,BBC News,2019-12-02,7,55,6,2019,innovative materials can replace plastik,innovative materials can replace plastic,"['innov', 'materi', 'replac', 'plastic']",0,Plastic Product,positive,0.11298269581619674,2019-12
comment_047,I reduced my plastic consumption significantly,Guardian ,2022-04-06,130,13,6,2022,i reduced my plastic consumption significantly,i reduced my plastic consumption significantly,"['reduc', 'plastic', 'consumpt', 'significantli']",5,Other,neutral,0.0,2022-04
comment_048,Plastic production should be regulated strictly,BBC News,2017-12-21,177,138,6,2017,plastic production should be regulated strictly,plastic production should be regulated strictly,"['plastic', 'product', 'regul', 'strictli']",2,Policy,neutral,0.0,2017-12
comment_049,I REDUCED my plastic consumption significantly #plasticpollution,Mail Online,2019-07-05,292,36,7,2019,i reduced my plastic consumption significantly plasticpollution,i reduced my plastic consumption significantly plasticpollution,"['reduc', 'plastic', 'consumpt', 'significantli', 'plasticpollut']",5,Other,neutral,0.0,2019-07
comment_050,The plastic industry IS destroying our environment 🌍,BBC News,2018-01-09,312,68,8,2018,the plastic industry is destroying our environment,the plastic industry is destroying our environment,"['plastic', 'industri', 'destroy', 'environ']",3,Family,negative,-0.142452316261341,2018-01
comment_051,Waste management systems need improvement!?,Guardian ,2018-12-11,86,107,5,2018,waste management systems need improvement,waste management systems need improvement,"['wast', 'manag', 'system', 'need', 'improv']",4,Food,negative,-0.12180810416272426,2018-12
comment_052,We need better solutions for plastik waste MANAGEMENT!!!,Guardian ,2018-12-24,226,16,8,2018,we need better solutions for plastik waste management,we need better solutions for plastic waste management,"['need', 'better', 'solut', 'plastic', 'wast', 'manag']",4,Food,positive,0.1019960608701979,2018-12
comment_053,Supermarkets use too much plastic packaging,BBC News,2021-03-02,201,19,6,2021,supermarkets use too much plastic packaging,supermarkets use too much plastic packaging,"['supermarket', 'use', 'much', 'plastic', 'packag']",2,Policy,neutral,0.0,2021-03
comment_054,The plastic industry is destroying OUR environment,BBC News,2018-03-26,18,47,7,2018,the plastic industry is destroying our environment,the plastic industry is destroying our environment,"['plastic', 'industri', 'destroy', 'environ']",3,Family,negative,-0.142452316261341,2018-03
comment_055,Recycling is not working most plastic never gets recycled #recycling,Mail Online,2021-03-20,140,40,10,2021,recycling is not working most plastic never gets recycled recycling,recycling is not working most plastic never gets recycled recycling,"['recycl', 'work', 'plastic', 'never', 'get', 'recycl', 'recycl']",1,Shopping,neutral,0.0,2021-03
comment_056,I reduced my plastic consumption significantly #plasticpollution!?,Mail Online,2022-08-26,196,114,7,2022,i reduced my plastic consumption significantly plasticpollution,i reduced my plastic consumption significantly plasticpollution,"['reduc', 'plastic', 'consumpt', 'significantli', 'plasticpollut']",5,Other,neutral,0.0,2022-08
comment_057,The plastic industry is destroying our environment 👍 #sustainability https://bit.ly/3plasticfacts,BBC News,2019-12-15,189,1,10,2019,the plastic industry is destroying our environment sustainability bit ly plasticfacts,the plastic industry is destroying our environment sustainability bit ly plasticfacts,"['plastic', 'industri', 'destroy', 'environ', 'sustain', 'bit', 'plasticfact']",4,Food,negative,-0.142452316261341,2019-12
comment_058,I reduced MY plastic consumption significantly,Mail Online,2019-07-26,130,143,6,2019,i reduced my plastic consumption significantly,i reduced my plastic consumption significantly,"['reduc', 'plastic', 'consumpt', 'significantli']",5,Other,neutral,0.0,2019-07
comment_059,We need better solutions for plastic waste management 😊 #sustainability!?,Mail Online,2023-08-06,220,76,10,2023,we need better solutions for plastic waste management sustainability,we need better solutions for plastic waste management sustainability,"['need', 'better', 'solut', 'plastic', 'wast', 'manag', 'sustain']",4,Food,positive,0.06990375659278357,2023-08
comment_060,Education about plastic waste is crucial 👍,BBC News,2023-11-26,97,60,7,2023,education about plastic waste is crucial,education about plastic waste is crucial,"['educ', 'plastic', 'wast', 'crucial']",0,Plastic Product,negative,-0.10819199695445972,2023-11
comment_061,Marine animals suffer the most from plastic #climatechange,BBC News,2021-04-02,85,148,8,2021,marine animals suffer the most from plastic climatechange,marine animals suffer the most from plastic climatechange,"['marin', 'anim', 'suffer', 'plastic', 'climatechang']",3,Family,negative,-0.13866849234082723,2021-04
comment_062,@BBCEnvironment Many countries have BANNED single-use plastik bags 💩,Guardian ,2017-10-16,219,40,9,2017,bbcenvironment many countries have banned single use plastik bags,bbcenvironment many countries have banned single use plastic bags,"['bbcenviron', 'mani', 'countri', 'ban', 'singl', 'use', 'plastic', 'bag']",5,Other,negative,-0.14725451200030176,2017-10
comment_063,Recycling is not WORKING most plastic never gets recycled!!!,Guardian ,2021-03-12,273,1,9,2021,recycling is not working most plastic never gets recycled,recycling is not working most plastic never gets recycled,"['recycl', 'work', 'plastic', 'never', 'get', 'recycl']",1,Shopping,neutral,0.0,2021-03
comment_064,@UNEnvironment International cooperation needed for plastic crisis 😊,Mail Online,2017-12-03,127,57,8,2017,unenvironment international cooperation needed for plastic crisis,unenvironment international cooperation needed for plastic crisis,"['unenviron', 'intern', 'cooper', 'need', 'plastic', 'crisi']",1,Shopping,negative,-0.15928840365580269,2017-12
comment_065,The new plastic tax is a good step forward,Mail Online,2019-11-09,64,62,9,2019,the new plastic tax is a good step forward,the new plastic tax is a good step forward,"['new', 'plastic', 'tax', 'good', 'step', 'forward']",3,Family,positive,0.11298269581619674,2019-11
comment_066,Plastic bags are convenient but harmful #recyling?!,BBC News,2018-03-10,246,92,7,2018,plastic bags are convenient but harmful recyling,plastic bags are convenient but harmful recycling,"['plastic', 'bag', 'conveni', 'harm', 'recycl']",1,Shopping,neutral,0.0,2018-03
comment_067,@UNEnvironment Biodegradable plastics are not perfect but better?!,Mail Online,2023-11-10,314,67,8,2023,unenvironment biodegradable plastics are not perfect but better,unenvironment biodegradable plastics are not perfect but better,"['unenviron', 'biodegrad', 'plastic', 'perfect', 'better']",5,Other,negative,-0.08137174781493449,2023-11
comment_068,@UNEnvironment Plastic waste in rivers flows to oceans 😊,Mail Online,2023-05-04,320,96,9,2023,unenvironment plastic waste in rivers flows to oceans,unenvironment plastic waste in rivers flows to oceans,"['unenviron', 'plastic', 'wast', 'river', 'flow', 'ocean']",3,Family,negative,-0.10819199695445972,2023-05
comment_069,@UNEnvironment The plastic industry is destroying our environment #recycling,BBC News,2022-10-17,152,6,9,2022,unenvironment the plastic industry is destroying our environment recycling,unenvironment the plastic industry is destroying our environment recycling,"['unenviron', 'plastic', 'industri', 'destroy', 'environ', 'recycl']",1,Shopping,negative,-0.142452316261341,2022-10
comment_070,@GreenPeace Innovative materials can replace plastic,Mail Online,2020-05-03,34,29,6,2020,greenpeace innovative materials can replace plastic,greenpeace innovative materials can replace plastic,"['greenpeac', 'innov', 'materi', 'replac', 'plastic']",0,Plastic Product,positive,0.11298269581619674,2020-05
comment_071,Plastic bottles TAKE hundreds of years to decompose 👎,BBC News,2020-06-23,120,3,9,2020,plastic bottles take hundreds of years to decompose,plastic bottles take hundreds of years to decompose,"['plastic', 'bottl', 'take', 'hundr', 'year', 'decompos']",5,Other,neutral,0.0,2020-06
comment_072,Innovations in recycling technology give hope #zerowaste,Guardian ,2017-08-06,341,100,7,2017,innovations in recycling technology give hope zerowaste,innovations in recycling technology give hope zerowaste,"['innov', 'recycl', 'technolog', 'give', 'hope', 'zerowast']",2,Policy,positive,0.11298269581619674,2017-08
comment_073,We must find balance between convenience and environment!?,Guardian ,2021-05-16,285,52,8,2021,we must find balance between convenience and environment,we must find balance between convenience and environment,"['must', 'find', 'balanc', 'conveni', 'environ']",1,Shopping,neutral,0.0,2021-05
comment_074,We need better solutions for plastic waste management 🐠,Mail Online,2018-06-10,45,57,9,2018,we need better solutions for plastic waste management,we need better solutions for plastic waste management,"['need', 'better', 'solut', 'plastic', 'wast', 'manag']",4,Food,positive,0.05216252498431177,2018-06
comment_075,Corporate RESPONSIBILITY for plastic is importent...,Guardian ,2023-08-23,54,23,6,2023,corporate responsibility for plastic is importent,corporate responsibility for plastic is important,"['corpor', 'respons', 'plastic', 'import']",1,Shopping,neutral,0.0,2023-08
comment_076,Government policies need to be stronger?!,Guardian ,2021-01-02,234,31,6,2021,government policies need to be stronger,government policies need to be stronger,"['govern', 'polici', 'need', 'stronger']",3,Family,neutral,0.0,2021-01
comment_077,REUSABLE products are the future #environment,Guardian ,2017-01-31,251,137,6,2017,reusable products are the future environment,reusable products are the future environment,"['reusabl', 'product', 'futur', 'environ']",3,Family,neutral,0.0,2017-01
comment_078,Plastic pollution affects everyone globally http://www.greenpeace.org/plastic,Guardian ,2018-05-05,295,33,6,2018,plastic pollution affects everyone globally http www greenpeace org plastic,plastic pollution affects everyone globally http www greenpeace org plastic,"['plastic', 'pollut', 'affect', 'everyon', 'global', 'http', 'www', 'greenpeac', 'org', 'plastic']",2,Policy,neutral,0.0,2018-05
comment_079,Innovations in recycling technology give hope #savetheoceans,Guardian ,2019-05-22,157,23,7,2019,innovations in recycling technology give hope savetheoceans,innovations in recycling technology give hope savetheoceans,"['innov', 'recycl', 'technolog', 'give', 'hope', 'savetheocean']",2,Policy,positive,0.11298269581619674,2019-05
comment_080,Local recycling programs vary too much 🐠,BBC News,2021-01-06,230,150,7,2021,local recycling programs vary too much,local recycling programs vary too much,"['local', 'recycl', 'program', 'vari', 'much']",1,Shopping,neutral,0.0,2021-01
comment_081,Everyone has responsibility to reduce plastic,BBC News,2018-01-15,18,87,6,2018,everyone has responsibility to reduce plastic,everyone has responsibility to reduce plastic,"['everyon', 'respons', 'reduc', 'plastic']",1,Shopping,neutral,0.0,2018-01
comment_082,PLASTIC waste in rivers flows to oceans http://www.greenpeace.org/plastic,Mail Online,2019-04-04,170,142,8,2019,plastic waste in rivers flows to oceans http www greenpeace org plastic,plastic waste in rivers flows to oceans http www greenpeace org plastic,"['plastic', 'wast', 'river', 'flow', 'ocean', 'http', 'www', 'greenpeac', 'org', 'plastic']",3,Family,negative,-0.10819199695445972,2019-04
comment_083,Innovative materials can replace PLASTIC,Mail Online,2017-03-10,200,41,5,2017,innovative materials can replace plastic,innovative materials can replace plastic,"['innov', 'materi', 'replac', 'plastic']",0,Plastic Product,positive,0.11298269581619674,2017-03
comment_084,Microplastiks are in our food and water this is terrifying ❤️,Mail Online,2018-05-22,129,117,11,2018,microplastiks are in our food and water this is terrifying,microplastiks are in our food and water this is terrifying,"['microplastik', 'food', 'water', 'terrifi']",3,Family,negative,-0.14607992312427026,2018-05
comment_085,Government POLICIES need to be stronger 😂,Mail Online,2018-09-19,292,97,7,2018,government policies need to be stronger,government policies need to be stronger,"['govern', 'polici', 'need', 'stronger']",3,Family,positive,0.09810479340675128,2018-09
comment_086,Waste management systems need improvement,Mail Online,2022-10-16,105,60,5,2022,waste management systems need improvement,waste management systems need improvement,"['wast', 'manag', 'system', 'need', 'improv']",4,Food,neutral,0.013321880419885508,2022-10
comment_087,@GreenPeace More research needed on plastic alternatives #ecofriendly,Guardian ,2020-12-04,323,120,8,2020,greenpeace more research needed on plastic alternatives ecofriendly,greenpeace more research needed on plastic alternatives ecofriendly,"['greenpeac', 'research', 'need', 'plastic', 'altern', 'ecofriendli']",5,Other,neutral,0.0,2020-12
comment_088,@GreenPeace International cooperation needed for plastic crisis #sustainability...,Mail Online,2019-05-16,266,144,8,2019,greenpeace international cooperation needed for plastic crisis sustainability,greenpeace international cooperation needed for plastic crisis sustainability,"['greenpeac', 'intern', 'cooper', 'need', 'plastic', 'crisi', 'sustain']",1,Shopping,negative,-0.15928840365580269,2019-05
comment_089,Government policies need to be stronger #plasticpollution,Guardian ,2019-01-30,176,2,7,2019,government policies need to be stronger plasticpollution,government policies need to be stronger plasticpollution,"['govern', 'polici', 'need', 'stronger', 'plasticpollut']",3,Family,positive,0.09810479340675128,2019-01
comment_090,Single-use plastik should be banned completely #plastikpollution,BBC News,2020-04-09,192,69,7,2020,single use plastik should be banned completely plastikpollution,single use plastic should be banned completely plastikpollution,"['singl', 'use', 'plastic', 'ban', 'complet', 'plastikpollut']",5,Other,negative,-0.1176391019751336,2020-04
comment_091,More research needed on plastic alternatives 🔥,Guardian ,2020-09-08,154,135,7,2020,more research needed on plastic alternatives,more research needed on plastic alternatives,"['research', 'need', 'plastic', 'altern']",5,Other,neutral,0.0,2020-09
comment_092,Biodegradable plastics are not perfect but better http://www.greenpeace.org/plastic!?,BBC News,2020-03-29,313,130,8,2020,biodegradable plastics are not perfect but better http www greenpeace org plastic,biodegradable plastics are not perfect but better http www greenpeace org plastic,"['biodegrad', 'plastic', 'perfect', 'better', 'http', 'www', 'greenpeac', 'org', 'plastic']",5,Other,negative,-0.16791531014553449,2020-03
comment_093,Local recycling programs vary too much 👍 #environment,Mail Online,2019-05-16,344,45,8,2019,local recycling programs vary too much environment,local recycling programs vary too much environment,"['local', 'recycl', 'program', 'vari', 'much', 'environ']",1,Shopping,neutral,0.0,2019-05
comment_094,Marine animals suffer the most from plastic??,Mail Online,2019-08-12,343,25,7,2019,marine animals suffer the most from plastic,marine animals suffer the most from plastic,"['marin', 'anim', 'suffer', 'plastic']",3,Family,negative,-0.15159753497678685,2019-08
comment_095,We need circular economy approaches for plastic...,Guardian ,2019-08-15,11,78,7,2019,we need circular economy approaches for plastic,we need circular economy approaches for plastic,"['need', 'circular', 'economi', 'approach', 'plastic']",5,Other,neutral,0.0,2019-08
comment_096,@GreenPeace We must find balance between convenience and enviroment,BBC News,2023-06-05,54,10,9,2023,greenpeace we must find balance between convenience and enviroment,greenpeace we must find balance between convenience and environment,"['greenpeac', 'must', 'find', 'balanc', 'conveni', 'environ']",1,Shopping,neutral,0.0,2023-06
comment_097,Public awareness is increasing which is good 🔥!!!,BBC News,2021-10-04,48,58,8,2021,public awareness is increasing which is good,public awareness is increasing which is good,"['public', 'awar', 'increas', 'good']",4,Food,positive,0.14875308173731133,2021-10
comment_098,Supermarkets use too much plastic packaging,Guardian ,2021-02-15,66,69,6,2021,supermarkets use too much plastic packaging,supermarkets use too much plastic packaging,"['supermarket', 'use', 'much', 'plastic', 'packag']",2,Policy,neutral,0.0,2021-02
comment_099,Plastic RECYCLING rates are disappointingly low?!,Guardian ,2020-04-07,121,60,6,2020,plastic recycling rates are disappointingly low,plastic recycling rates are disappointingly low,"['plastic', 'recycl', 'rate', 'disappointingli', 'low']",4,Food,negative,-0.12617232354005406,2020-04
comment_100,Education ABOUT plastic waste is crucial #plasticpollution...,Mail Online,2023-09-10,315,66,7,2023,education about plastic waste is crucial plasticpollution,education about plastic waste is crucial plasticpollution,"['educ', 'plastic', 'wast', 'crucial', 'plasticpollut']",0,Plastic Product,negative,-0.10819199695445972,2023-09
comment_101,Everyone has responsibility to reduce plastic,Guardian ,2021-05-12,146,113,6,2021,everyone has responsibility to reduce plastic,everyone has responsibility to reduce plastic,"['everyon', 'respons', 'reduc', 'plastic']",1,Shopping,neutral,0.0,2021-05
comment_102,Corporate responsibility for plastic is importent 👎,Guardian ,2017-07-20,95,60,7,2017,corporate responsibility for plastic is importent,corporate responsibility for plastic is important,"['corpor', 'respons', 'plastic', 'import']",1,Shopping,neutral,0.0,2017-07
